N ;North ;
S ;South ;
E ;East ;
W ;West ;
N<;North<;
S<;South<;
E<;East<;
W<;West<;
NW ; Northwest ;
NE ; Northeast ;
SW ; Southwest ;
SE ; Southeast ;
NW<; Northwest<;
NE<; Northeast<;
SW<; Southwest<;
SE<; Southeast<;
St. ;Saint ;
St.<;Street<
St<;Street<
Dr.<;Drive<
Dr/;Drive<
Dr<;Drive<
Ave<;Avenue<
Cir<;Circle<
Hts;Heights
Hwy;Highway
Ln;Lane
Pde;Parade
Pkwy;Parkway
Pl<;Place<
Plz;Plaza
Rd;Road
Sq<;Square<
Tce;Terrace
Trk;Track
Wy<;Way<
Aly<;Alley<
Blvd;Boulevard
Crt;Court
Ct;Court
Expy;Expressway
Fwy;Freeway
Trl;Trail
Tunl;Tunnel
Tpke;Turnpike
Peakway;Parkway
peakway;parkway
nám.;náměstí
Nám.;náměstí
ул.;улица
Пер.;проспект
пер.;проспект
